period,multiplier,ema_filter,vol_filter,return_pct,trades,win_rate,sharpe,sortino,max_dd,final_value,name
10,3.0,50.0,True,101.83279316209703,76,40.78947368421053,1.5400421249384006,2.3258299176169395,19.033192461471298,20183.279316209704,Default + EMA50 + Vol filter
10,3.0,200.0,False,99.59100900781705,128,35.9375,1.3511941466317745,1.9915825829980602,29.6313702568732,19959.100900781705,Default + EMA200 filter
10,3.0,50.0,False,85.7988846021626,192,34.375,1.077949012420456,1.5781115960705097,34.52270544759375,18579.888460216258,Default + EMA50 filter
10,3.0,,True,80.1190319311407,88,37.5,1.2723689834481868,1.8974055258988134,19.033192461471298,18011.90319311407,Default + Volatility filter
19,3.0,,False,66.26610917027664,206,31.55339805825243,0.8993672435005597,1.3141367295089055,30.01698219278382,16626.61091702766,BO: Microsoft optimal
12,3.0,,False,59.97505546292407,211,29.383886255924168,0.846589241863523,1.2393248980489684,36.45225379024239,15997.505546292407,Triple ST: Slow
14,3.0,,False,57.076009024627496,211,28.90995260663507,0.8190895649739072,1.1979159585657977,33.021570730623914,15707.60090246275,TV: Swing trading
10,3.0,,False,54.41709873346584,211,32.70142180094787,0.794722736905994,1.1542051997226928,37.4642915405357,15441.709873346585,"Default (10, 3)"
10,2.5,,False,51.9665903021633,265,30.18867924528302,0.7704088222914806,1.1329173853003542,39.37022065907797,15196.65903021633,Quant: Balanced
9,2.2,50.0,False,26.83767662414797,258,30.620155038759687,0.5317399683036678,0.7900026632602847,35.12891678579272,12683.767662414797,TV Crypto + EMA50
14,4.0,,False,13.01179892293614,150,28.859060402684566,0.3495588830773435,0.49801583147687944,42.798234093730265,11301.179892293614,BO: Nvidia optimal
20,4.0,,False,10.056583139249923,147,28.767123287671232,0.3111565846536666,0.4442936658296397,45.11090245956882,11005.658313924992,BO: Nifty50 optimal
9,2.2,,False,9.07852976700402,320,29.6875,0.2991712024809588,0.4375210990920612,37.46502923198932,10907.852976700402,TV: Crypto 15m-6H
7,2.0,,False,-3.114917944544286,360,30.277777777777775,0.13121611509084688,0.1920984286863325,34.61409217257415,9688.508205545571,TV: Scalping
11,2.0,,False,-4.081889130257968,359,31.75487465181058,0.11947729863424097,0.17366891723931488,39.48685764535648,9591.811086974203,Triple ST: Medium
9,2.2,,True,-7.222949281635829,130,31.538461538461537,-0.029861484561885802,-0.043244900172589015,27.337039101251335,9277.705071836417,TV Crypto + Volatility filter
5,1.0,,False,-85.41003265712924,909,25.63256325632563,-2.4444863787222757,-3.5230538655252883,87.4335007035558,1458.9967342870768,BO: HUL optimal (aggressive)
10,1.0,,False,-87.73427536514016,912,27.192982456140353,-2.647952948453959,-3.798470331580508,89.63650910034019,1226.5724634859835,Triple ST: Fast
